id_precio_vinculante_combustible,fecha,id_combustible,id_unidad_medida,id_central_generacion,precio_vinculante_combustibles,fuente,observaciones,es_activo,created_at,updated_at,created_by,archivo_origen,fecha_carga,usuario_carga
46003cb6-ac2d-4b5c-8fca-397318a3f6a6,2017-07-22,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
163a3801-08cf-4ddc-9079-9171c0ac9722,2017-07-23,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
7ce66d77-f81c-4614-95df-7723aa312498,2017-07-24,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
166a900b-3f92-49ff-8895-b295f4d4c19c,2017-07-25,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
945df17b-3d6e-46e4-927f-89a987184e96,2017-07-26,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
108d77c2-22cb-45a5-80eb-a8c7c24f9790,2017-07-27,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
fa479679-4e1c-458f-9777-fa3bbb7c0a26,2017-07-28,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
13dab968-ccb4-48f0-a2f0-e873f029d748,2017-07-29,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
99c04719-d473-49e6-91df-0aa28ca8aef8,2017-07-30,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
1f9b95e1-8682-4cb1-a3f2-8c4b74afb399,2017-07-31,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
7dbc3f56-4933-4523-83f6-23386c5b23ea,2017-08-01,9693a1d1-4b88-4d73-8138-b46b21e7a72c,5a3d193f-cb2b-40df-b401-d786b9e25ef8,66494024-e990-408e-8da3-32baa15b52a5,,,,true,,,,,,
