fecha,precio_vinculante_combustibles
01/01/2026,50.090568
02/01/2026,47.286588
03/01/2026,47.413986
04/01/2026,47.413986
05/01/2026,47.413986
06/01/2026,39.692484
07/01/2026,45.373986
08/01/2026,48.840354
09/01/2026,54.102738
10/01/2026,49.585566
11/01/2026,49.585566
12/01/2026,49.585566
13/01/2026,51.282336
14/01/2026,56.93028
